r_mean,g_mean,b_mean,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,grad_mean,grad_std,label
174.3177,132.8442,100.1742,189.7463,187.2185,175.0073,179.5414,180.6699,193.0437,163.0011,142.1584,159.1736,155.2369,145.6438,129.5355,145.7165,146.8301,148.0283,125.5408,86.6856,113.3851,113.8058,113.1946,91.2588,120.2224,118.4867,109.1333,86.8449,62.2931,86.9507,0.066512,0.072320,0
83.5950,68.1823,53.3107,108.7077,119.5141,64.2933,107.0655,152.4936,86.9104,33.9426,54.6554,26.9035,86.4183,98.5746,63.3726,86.7064,112.5012,63.6709,35.6797,48.1855,20.3569,66.4747,74.7632,51.1087,66.2609,84.6446,50.3691,29.4728,42.1099,15.9484,0.090656,0.087722,0
107.7657,78.2199,59.9573,127.8157,103.9898,57.6640,149.3619,176.4645,102.1532,93.7447,101.8880,57.4446,95.0211,83.5202,56.7362,98.4084,106.5947,68.2252,68.9133,86.4531,40.4756,71.3332,68.0873,43.1493,70.2742,69.0002,54.1314,55.8359,76.2962,31.7425,0.080899,0.080736,0
113.2698,112.4960,98.4595,159.0055,104.0299,165.7706,155.9568,63.7344,116.1984,96.1370,63.0616,98.2523,180.9018,109.7020,167.0408,160.1003,55.8248,122.2400,73.2959,54.6749,92.0925,164.4539,114.3075,173.9290,116.9646,53.4893,121.9952,45.4300,43.6485,55.4656,0.055165,0.062224,0
79.4141,59.5857,32.2397,43.2032,55.7829,61.7517,70.6694,162.7507,89.4576,51.4431,93.1441,85.5517,38.9706,47.3310,55.1252,56.9102,110.6355,60.6448,37.9877,61.7493,66.3186,25.4819,24.7124,21.5607,35.5265,36.6721,39.7852,25.2787,32.4633,48.5369,0.066284,0.071680,0
95.2685,90.3730,57.9136,120.6902,127.2473,72.8864,80.7332,121.4552,31.9203,69.7203,144.9811,88.3935,110.3324,116.7314,55.8702,96.2234,108.8577,39.7163,79.5025,126.5091,80.0816,67.0479,70.5883,49.2232,55.7414,61.5606,29.5129,63.8815,75.3005,48.8409,0.051164,0.063387,0
151.1358,129.6912,115.6059,194.8431,174.1894,145.4106,152.0268,166.8821,116.8581,179.6978,139.5877,92.9115,166.5050,132.0008,111.4463,138.0770,127.9448,98.0699,163.1235,150.8461,80.6637,155.9197,97.7390,91.7018,132.2773,92.7139,85.4445,158.1941,157.8880,69.8627,0.065751,0.071561,0
105.8100,111.0439,99.2927,116.1207,66.4371,64.1295,51.8713,132.9082,141.0829,91.9080,166.9959,120.0692,154.3494,78.2537,82.4492,111.9109,112.7625,117.0403,84.0415,145.0737,113.7425,167.0962,69.9879,41.5121,133.5219,88.3965,100.8670,76.1979,116.4165,100.6908,0.086431,0.079808,0
135.5145,111.5315,81.1026,121.1937,191.8498,105.5470,145.1156,178.7736,131.6856,99.0839,143.5250,102.5926,139.8629,119.2270,98.9692,141.4412,105.1228,114.2887,98.9925,92.4149,94.6105,114.1042,43.4724,88.9854,137.3124,31.6226,92.2989,85.2454,50.3764,87.8158,0.087881,0.077176,0
61.1569,81.9523,45.8027,52.2085,65.6642,109.2648,55.6719,76.1256,39.5267,56.9686,39.9307,55.6789,109.5138,83.7252,161.1195,87.2184,79.4403,58.7256,69.0746,39.0819,52.1003,30.4942,55.0868,83.1317,38.3403,64.1176,28.9496,44.4468,29.0568,38.9093,0.066395,0.063417,0
177.6239,173.8640,162.7247,214.3453,194.5075,192.5396,211.3970,183.6261,186.6832,174.9697,111.1629,131.6488,221.9694,174.0955,181.8844,216.2216,165.3757,174.8680,185.2887,99.9480,147.5973,215.8125,151.9918,181.2509,211.4562,137.6843,171.1011,177.8232,69.7803,150.3843,0.033045,0.044773,0
139.0690,110.6836,70.8422,163.0563,148.5211,179.6299,133.0722,161.6133,131.9120,95.2259,123.7925,115.9269,149.5780,135.4686,161.6041,103.2519,125.0741,97.3685,63.4205,86.2920,76.1659,131.8031,87.6650,100.4223,74.9057,68.9696,56.1731,35.2416,43.1544,41.7680,0.094220,0.083948,0
89.2879,82.7718,58.8245,94.5882,59.2733,61.4156,100.2593,176.5203,95.1950,89.8180,94.1464,31.3743,90.5930,56.2343,64.7740,92.6559,134.8664,82.4171,104.3294,85.0822,33.6614,81.8803,35.1565,54.8171,64.3171,64.4369,51.6676,93.4054,56.8381,27.6282,0.053278,0.056721,0
